"Timestamp","Which age group describes you?","In the next two years, will you be moving into a new space or doing a remodel of your living space?","How do you get home/room decorating ideas and decide on your purchases? (Choose all that apply)","Do you view your home/room design as an important way to express yourselves?","Do you find the current home/room decorating process out of date and in need of modernization?","Do you find home/room decorating design time-consuming and inconvenient?","Do you have trouble visualizing how furniture will look together in your home when you are making purchases?","Have your ever used Augmented Reality features before?","How helpful would a platform be that suggests home/room decorating recommendations specific to your taste and space?","Would an unbiased platform that provides design recommendations based on your needs and not selling products be helpful to you?","Are you interested in a platform where you can order all your design purchases (from the same or multiple companies) in one place?","Do you have problems with putting together and placing your design purchases after they arrive at your home?  Would an easy way to hire contractors to help be helpful?","Do you have any opinions on the current home/room decorating community, resources available, and ease of access?"
"2020/03/05 8:33:07 PM GMT","18-24 years old","Yes","Visiting stores (Furniture Stores, IKEA, Costco, etc)","4","4","2","4","Yes","4","5","4","3",""
"2020/03/05 8:34:50 PM GMT","18-24 years old","Yes","Store websites (Amazon, Wayfair, etc);Search Engines (Google, catalogs, etc);Friends/Family","4","5","5","4","Yes","5","3","5","1",""
"2020/03/05 8:35:28 PM GMT","18-24 years old","Yes","Visiting stores (Furniture Stores, IKEA, Costco, etc);Search Engines (Google, catalogs, etc)","3","2","5","5","No","5","5","5","3",""
"2020/03/05 8:36:58 PM GMT","25-39 years old","Maybe","Visiting stores (Furniture Stores, IKEA, Costco, etc);Store websites (Amazon, Wayfair, etc);Search Engines (Google, catalogs, etc)","5","2","5","5","No","5","5","5","5","I love the concept!"
"2020/03/05 8:40:51 PM GMT","18-24 years old","Yes","Visiting stores (Furniture Stores, IKEA, Costco, etc);Store websites (Amazon, Wayfair, etc);Search Engines (Google, catalogs, etc);Friends/Family","4","2","5","4","Yes","5","5","5","5",""
"2020/03/05 8:42:06 PM GMT","18-24 years old","Yes","Store websites (Amazon, Wayfair, etc);Search Engines (Google, catalogs, etc);Friends/Family","3","3","4","2","No","4","5","4","2",""
"2020/03/05 8:42:18 PM GMT","18-24 years old","Yes","Search Engines (Google, catalogs, etc)","4","3","3","1","No","3","4","5","3",""
"2020/03/05 8:42:38 PM GMT","18-24 years old","Yes","Visiting stores (Furniture Stores, IKEA, Costco, etc);Store websites (Amazon, Wayfair, etc);Search Engines (Google, catalogs, etc);Friends/Family","2","4","2","2","Yes","2","3","2","1","I don’t think it is possible for you to create an unbiased platform. "
"2020/03/05 8:43:33 PM GMT","18-24 years old","No","","3","3","4","4","No","3","3","3","3",""
"2020/03/05 8:43:42 PM GMT","25-39 years old","Yes","Visiting stores (Furniture Stores, IKEA, Costco, etc);Store websites (Amazon, Wayfair, etc);Facebook marketplace","4","3","4","3","Yes","3","4","4","2","Generally not a big concern of mine. Technology could make it easier to find specific items. It could be useful to have a platform that takes in your preference for design and suggests combinations of furniture based on a budget."
"2020/03/05 8:46:26 PM GMT","Under 18 years old","Yes","Visiting stores (Furniture Stores, IKEA, Costco, etc);Store websites (Amazon, Wayfair, etc);Search Engines (Google, catalogs, etc)","4","4","4","3","No","4","4","4","4",""
"2020/03/05 8:48:40 PM GMT","18-24 years old","No","Visiting stores (Furniture Stores, IKEA, Costco, etc);Store websites (Amazon, Wayfair, etc);Search Engines (Google, catalogs, etc);Friends/Family","3","3","2","2","No","4","4","4","4",""
"2020/03/05 8:53:55 PM GMT","18-24 years old","Yes","Search Engines (Google, catalogs, etc)","5","3","3","5","No","5","5","5","1","Not really"
"2020/03/05 9:10:14 PM GMT","18-24 years old","Yes","Store websites (Amazon, Wayfair, etc);Friends/Family","4","3","1","4","No","4","3","4","5",""
"2020/03/05 9:10:46 PM GMT","25-39 years old","Maybe","Store websites (Amazon, Wayfair, etc);Friends/Family","3","3","3","2","No","4","5","4","4",""
"2020/03/05 9:28:16 PM GMT","18-24 years old","Yes","Visiting stores (Furniture Stores, IKEA, Costco, etc);Store websites (Amazon, Wayfair, etc);Friends/Family;HGTV","5","5","4","4","No","5","4","5","2",""
"2020/03/05 9:32:36 PM GMT","18-24 years old","Yes","Friends/Family","4","5","4","4","No","5","5","5","2","I think we are long overdue for some innovation"
"2020/03/05 9:49:04 PM GMT","18-24 years old","Yes","Visiting stores (Furniture Stores, IKEA, Costco, etc);Store websites (Amazon, Wayfair, etc);Search Engines (Google, catalogs, etc);Friends/Family","3","3","4","2","No","5","5","5","3","Wish that it was easier to compare types of furnitures between furnishing companies in one place"
"2020/03/05 9:49:56 PM GMT","18-24 years old","Yes","Visiting stores (Furniture Stores, IKEA, Costco, etc);Store websites (Amazon, Wayfair, etc);Search Engines (Google, catalogs, etc);Friends/Family","3","3","3","2","Yes","3","4","4","3",""
"2020/03/05 10:12:52 PM GMT","18-24 years old","No","Visiting stores (Furniture Stores, IKEA, Costco, etc);Store websites (Amazon, Wayfair, etc);Search Engines (Google, catalogs, etc);Friends/Family","4","3","4","4","No","4","4","4","3",""
"2020/03/05 10:16:44 PM GMT","18-24 years old","Yes","Visiting stores (Furniture Stores, IKEA, Costco, etc)","4","4","2","4","No","3","3","2","4",""
"2020/03/05 10:24:31 PM GMT","18-24 years old","Yes","Search Engines (Google, catalogs, etc);Friends/Family","4","3","2","4","No","1","4","1","1",""
"2020/03/05 10:36:49 PM GMT","25-39 years old","No","Visiting stores (Furniture Stores, IKEA, Costco, etc);Store websites (Amazon, Wayfair, etc);Friends/Family","4","4","5","5","No","3","3","2","4",""
"2020/03/05 10:47:07 PM GMT","18-24 years old","Maybe","Contracting Interior Designers","3","3","3","4","Yes","3","4","4","2","I’m relatively new to it but have seen the process before going to college and it seems relatively straightforward, though I’m not too sure on my opinion yet."
"2020/03/05 11:29:56 PM GMT","18-24 years old","Yes","Visiting stores (Furniture Stores, IKEA, Costco, etc);Friends/Family","2","3","5","4","No","4","4","4","4",""
"2020/03/05 11:50:49 PM GMT","25-39 years old","Yes","Friends/Family","3","4","5","5","Yes","5","5","4","4",""
"2020/03/06 12:33:45 AM GMT","18-24 years old","Yes","Visiting stores (Furniture Stores, IKEA, Costco, etc);Store websites (Amazon, Wayfair, etc)","4","3","4","5","Yes","4","3","3","3",""
